Time_Soln#15 (sec),Volume_Soln#15 (cm3),Volumetric_heat_production_rate_Soln#15 (erg/cm3-sec),Surface_temperature_Soln#15 (K),Temperature_Soln#15 (K),Mass_Soln#15 (g),Pressure_Soln#15 (atm),Mole_fraction_H2_Soln#15 (),Mole_fraction_H_Soln#15 (),Mole_fraction_CH4_Soln#15 (),Mole_fraction_CH3_Soln#15 (),Mole_fraction_C2H4_Soln#15 (),Mole_fraction_C2H2_Soln#15 (),Mole_fraction_C4H4_Soln#15 (),Mole_fraction_C4H2_Soln#15 (),Mole_fraction_C6H6_Soln#15 (),Mole_fraction_C10H8_Soln#15 (),Mole_fraction_C7H8_Soln#15 (),Mole_fraction_C7H7_Soln#15 (),Mole_fraction_C6H5C2H_Soln#15 (),Mole_fraction_C6H5C2H3_Soln#15 (),Mole_fraction_C6H5C2H5_Soln#15 (),Mole_fraction_BIPHENYL_Soln#15 (),Mole_fraction_C14H10_Soln#15 (),Mole_fraction_C16H10_Soln#15 (),Mole_fraction_BIN1B_Soln#15 (),Mole_fraction_BIN1A_Soln#15 (),Molecular_weight_Soln#15 (g/mole),Mass_density_Soln#15 (g/cm3),Unburned_hydrocarbons_Soln#15 (ppm),Volatile_organic_compounds_Soln#15 (ppm)
1.428516E-5,15.65826,-2.911618E8,1671.373,1671.373,0.00119386,1.0,0.8876849,1.658061E-4,0.01539157,3.681059E-4,0.007738864,0.002785,9.319323E-5,1.351563E-4,0.01433904,3.213381E-5,0.02903171,0.004941495,0.003436935,0.03106794,0.001012125,2.87588E-5,1.043563E-4,2.589241E-5,2.56272E-7,1.03402E-5,10.45686,7.624473E-5,659153.2,659153.2
1.442949E-5,15.65877,-3.107883E8,1671.362,1671.362,0.00119386,1.0,0.8875863,1.648402E-4,0.01544761,3.634501E-4,0.007774983,0.002802821,9.399458E-5,1.370657E-4,0.01441718,3.278521E-5,0.02903541,0.004917802,0.003453976,0.03100056,9.865975E-4,2.905874E-5,1.052713E-4,2.629672E-5,2.621588E-7,1.05186E-5,10.45645,7.624224E-5,659127.7,659127.7
1.462006E-5,15.65943,-3.366808E8,1671.348,1671.348,0.00119386,1.0,0.8874579,1.635923E-4,0.01552033,3.574608E-4,0.007822175,0.002826205,9.504522E-5,1.396011E-4,0.0145194,3.365225E-5,0.02903964,0.004886779,0.003476248,0.03091227,9.539239E-4,2.945387E-5,1.064749E-4,2.683159E-5,2.700405E-7,1.075533E-5,10.45592,7.623905E-5,659094.3,659094.3
1.465049E-5,15.65953,-3.410386E8,1671.345,1671.345,0.00119386,1.0,0.8874375,1.633959E-4,0.01553181,3.565209E-4,0.007829659,0.002829924,9.52122E-5,1.400074E-4,0.01453562,3.37914E-5,0.02904025,0.004881853,0.00347978,0.03089825,9.488127E-4,2.951687E-5,1.066666E-4,2.691709E-5,2.713103E-7,1.079325E-5,10.45584,7.623855E-5,659089.0,659089.0
1.467058E-5,15.6596,-3.434308E8,1671.344,1671.344,0.00119386,1.0,0.8874241,1.632666E-4,0.01553937,3.559028E-4,0.007834593,0.002832377,9.532233E-5,1.402759E-4,0.01454631,3.38834E-5,0.02904064,0.004878605,0.003482109,0.03088899,9.454541E-4,2.955845E-5,1.067931E-4,2.697356E-5,2.721506E-7,1.081831E-5,10.45578,7.623822E-5,659085.5,659085.6
1.504353E-5,15.66082,-3.935698E8,1671.311,1671.311,0.00119386,1.0,0.8871789,1.609295E-4,0.01567693,3.447763E-4,0.007925075,0.002877592,9.734964E-5,1.452906E-4,0.01474274,3.560625E-5,0.02904645,0.004818943,0.003524827,0.03071882,8.853271E-4,3.032824E-5,1.091307E-4,2.802379E-5,2.879948E-7,1.128592E-5,10.45476,7.623227E-5,659021.3,659021.3
1.505659E-5,15.66086,-3.951048E8,1671.31,1671.31,0.00119386,1.0,0.8871705,1.608497E-4,0.01568166,3.443981E-4,0.007928208,0.002879165,9.742009E-5,1.454673E-4,0.01474955,3.566713E-5,0.02904661,0.004816874,0.003526307,0.03071291,8.832949E-4,3.035514E-5,1.092123E-4,2.806065E-5,2.885584E-7,1.130238E-5,10.45473,7.623207E-5,659019.1,659019.1
1.507261E-5,15.66091,-3.972802E8,1671.308,1671.308,0.00119386,1.0,0.8871601,1.60752E-4,0.01568744,3.439355E-4,0.007932047,0.002881093,9.750641E-5,1.456841E-4,0.0147579,3.574183E-5,0.02904679,0.00481434,0.003528119,0.03070567,8.808099E-4,3.038812E-5,1.093122E-4,2.810585E-5,2.892503E-7,1.132259E-5,10.45469,7.623182E-5,659016.4,659016.4
1.51983E-5,15.66131,-4.139552E8,1671.296,1671.296,0.00119386,1.0,0.8870792,1.599929E-4,0.01573251,3.403467E-4,0.00796203,0.002896182,9.818161E-5,1.473888E-4,0.01482311,3.632968E-5,0.02904807,0.004794537,0.003542279,0.03064903,8.615713E-4,3.064659E-5,1.100952E-4,2.846071E-5,2.947091E-7,1.148136E-5,10.45435,7.62299E-5,658995.0,658995.0
1.534312E-5,15.66175,-4.332562E8,1671.282,1671.282,0.00119386,1.0,0.8869869,1.591333E-4,0.01578376,3.362976E-4,0.007996303,0.002913486,9.895518E-5,1.49361E-4,0.01489772,3.701092E-5,0.02904918,0.004771891,0.003558466,0.03058415,8.399481E-4,3.094389E-5,1.109946E-4,2.887005E-5,3.010647E-7,1.166495E-5,10.45396,7.622773E-5,658970.6,658970.6
